"Processor_Number","Vertical_Segment","nb_of_Cores","Price_USD","Launch_Year","Turbo_Frequency_GHz","Cache_MB","TDP_W","Max_Memory_GB","Predicted_Price_USD"
"","Desktop",1,NA,2002,2.5,512,61,39.4661935483871,294.426918765895
"","Server",1,NA,NA,1,512,12.1,699.137906976744,258.167191675103
"745A","Mobile",1,NA,2004,1.8,2,21,22.4466183574879,58.821576093278
"","Desktop",1,NA,2000,0.85,256,22.5,39.4661935483871,94.8183236185376
"550","Desktop",1,NA,2004,3.4,1,115,39.4661935483871,85.0403085281649
"920","Desktop",2,NA,2006,2.8,4,95,39.4661935483871,178.059943171323
"","Desktop",1,NA,2002,2.4,512,59.8,39.4661935483871,283.11413569206
"","Desktop",1,NA,NA,0.933,256,27.3,39.4661935483871,101.57579702555
"745","Mobile",1,NA,2004,1.8,2,7.5,22.4466183574879,67.8743651461142
"","Desktop",1,NA,NA,0.8,256,20.8,39.4661935483871,90.0707881564028
"","Desktop",1,NA,2004,3.4,1,103,39.4661935483871,86.3533058007548
"541","Desktop",1,NA,2004,3.2,1,84,39.4661935483871,83.4717212010868
"","Desktop",1,NA,2002,2.2,512,57.1,39.4661935483871,260.570330617774
"A1018","Mobile",2,NA,2013,2.1,1,35,32,105.222888888808
"1405","Server",2,NA,2012,1.8,5,40,375,212.577157278725
"","Mobile",1,NA,NA,1.4,512,20.8,22.4466183574879,168.006970981719
"740","Mobile",1,NA,NA,1.73,2,27,22.4466183574879,54.5334112181548
"","Desktop",1,NA,2000,0.866,256,26.1,39.4661935483871,94.6786252161592
"","Desktop",1,NA,NA,0.75,256,19.5,39.4661935483871,85.0515874597954
"","Desktop",1,NA,NA,3.4,512,89,39.4661935483871,383.154534596355
"540J","Desktop",1,NA,2005,3.2,1,84,39.4661935483871,83.4717212010868
"","Desktop",1,NA,2002,2,512,54.3,39.4661935483871,237.920317334813
"","Mobile",1,NA,NA,0.6,256,9.7,22.4466183574879,66.4333619484419
"","Mobile",1,NA,NA,1.5,512,25.8,22.4466183574879,175.027401962638
"G620T","Desktop",2,NA,2011,2.2,3,35,32,142.979200853451
"","Mobile",1,NA,NA,0.9,1,7,22.4466183574879,28.5532624475689
"","Desktop",1,NA,NA,0.8,256,20.8,39.4661935483871,90.0707881564028
"","Desktop",1,NA,2000,0.7,256,18.3,39.4661935483871,79.9339666202766
"","Desktop",1,NA,2004,3.4,1,103,39.4661935483871,86.3533058007548
"672","Desktop",1,NA,2005,3.8,2,115,39.4661935483871,112.247147587212
"540","Desktop",1,NA,2004,3.2,1,84,39.4661935483871,83.4717212010868
"","Desktop",1,NA,NA,2,256,71.8,39.4661935483871,194.376721813296
"","Mobile",1,NA,NA,1.6,512,26.9,22.4466183574879,185.944554144932
"G622","Desktop",2,NA,2011,2.6,3,65,32,155.753506476032
"","Mobile",1,NA,NA,1,1,7,22.4466183574879,31.8177724756934
"735","Mobile",1,NA,NA,1.7,2,7.5,22.4466183574879,64.0030274848285
"","Desktop",1,NA,2000,0.733,256,22.8,39.4661935483871,81.2851883001297
"","Desktop",1,NA,NA,0.65,256,17,39.4661935483871,74.8362770345605
"","Desktop",1,NA,2004,3.2,1,103,39.4661935483871,81.1385068946586
"670","Desktop",1,NA,2005,3.8,2,115,39.4661935483871,112.247147587212
"531","Desktop",1,NA,2004,3,1,84,39.4661935483871,78.1161714275973
"","Mobile",1,NA,2002,1.7,512,30,22.4466183574879,194.916961505127
"B925C","Embedded",2,NA,2013,2,4,15,186.197125,223.371525656395
"G850","Desktop",2,NA,2011,2.9,3,65,32,174.246798992264
"","Desktop",1,NA,NA,0.667,256,17.5,39.4661935483871,76.5389093344807
"","Desktop",1,NA,NA,0.6,512,34.5,39.4661935483871,73.5496475835797
"","Desktop",1,NA,NA,3.2,512,82,39.4661935483871,364.139863544902
"530J","Desktop",1,NA,2004,3,1,84,39.4661935483871,78.1161714275973
"","Desktop",1,NA,NA,2.8,1,103,39.4661935483871,70.7363343898765
"","Desktop",1,NA,NA,1.9,256,69.2,39.4661935483871,185.345986193263
"","Mobile",1,NA,NA,0.9,256,30.7,22.4466183574879,85.8511898622165
"","Mobile",1,NA,NA,0.933,512,20.1,22.4466183574879,111.252054215256
"","Mobile",1,NA,NA,1.8,512,30,22.4466183574879,206.706862757486
"","Mobile",1,NA,NA,1.2,1,12,22.4466183574879,35.6024949519948
"730","Mobile",1,NA,NA,1.6,2,27,22.4466183574879,50.3274470829537
"","Desktop",1,NA,NA,0.6,512,34.5,39.4661935483871,73.5496475835797
"","Desktop",1,NA,2000,0.6,256,19.5,39.4661935483871,67.6256059962111
"","Desktop",1,NA,2004,3.2,1,103,39.4661935483871,81.1385068946586
"662","Desktop",1,NA,2005,3.6,2,115,39.4661935483871,106.181634049767
"530","Desktop",1,NA,2004,3,1,84,39.4661935483871,78.1161714275973
"519K","Desktop",1,NA,2004,3.06,1,84,39.4661935483871,79.7218357234266
"","Desktop",1,NA,2002,2.8,512,68.4,39.4661935483871,325.561907934046
"","Desktop",1,NA,NA,1.8,512,68.1,39.4661935483871,206.892196189586
"","Mobile",1,NA,NA,0.85,256,27.5,22.4466183574879,82.2029794848916
"","Mobile",1,NA,NA,0.866,512,19.5,22.4466183574879,103.486906598667
"","Mobile",1,NA,NA,1.9,512,32,22.4466183574879,216.562833317641
"G860T","Desktop",2,NA,2012,2.6,3,35,32,169.752368598335
"B940","Mobile",2,NA,2011,2,2,35,16,102.324532436257
"G632","Desktop",2,NA,2011,2.7,3,65,32,161.911741980246
"","Mobile",1,NA,NA,0.4,256,13.1,22.4466183574879,42.0064294349244
"","Mobile",1,NA,2003,1.1,1,12,22.4466183574879,32.5577334159157
"","Desktop",1,NA,NA,0.6,256,15.8,39.4661935483871,69.6330693443381
"","Desktop",1,NA,NA,0.55,512,30.8,39.4661935483871,68.3288623418022
"","Desktop",1,NA,2004,3,1,89,39.4661935483871,77.4907322246166
"661","Desktop",1,NA,2006,3.6,2,86,39.4661935483871,110.559257934034
"524","Desktop",1,NA,2006,3.06,1,84,39.4661935483871,79.7218357234266
"519","Desktop",1,NA,NA,3.06,1,84,39.4661935483871,79.7218357234266
"520","Desktop",1,NA,NA,2.8,1,84,39.4661935483871,72.7704244132118
"","Desktop",1,NA,NA,1.8,256,66.7,39.4661935483871,176.229674298428
"","Mobile",1,NA,NA,0.8,256,25.9,22.4466183574879,77.8852115848742
"","Mobile",1,NA,NA,2,512,32,22.4466183574879,228.282200600717
"B950","Mobile",2,NA,2011,2.1,2,35,16,107.584807276535
"","Mobile",1,NA,NA,0.366,256,13.1,22.4466183574879,38.3422371055243
"E6700","Desktop",2,NA,2010,3.2,2,65,39.4661935483871,182.871159898693
"T2390","Mobile",2,NA,NA,1.86,1,35,22.4466183574879,86.4187507506601
"","Mobile",1,NA,NA,1.3,1,22,22.4466183574879,35.5302486306381
"","Desktop",1,NA,NA,0.55,256,14.5,39.4661935483871,64.4426856628995
"","Desktop",1,NA,NA,0.533,512,29.7,39.4661935483871,66.4951805167244
"","Desktop",1,NA,NA,3,512,81.9,39.4661935483871,340.834450950562
"521","Desktop",1,NA,2005,2.8,1,84,39.4661935483871,72.7704244132118
"516","Desktop",1,NA,2005,2.93,1,84,39.4661935483871,76.2440119760953
"","Desktop",1,NA,NA,2.66,512,66.1,39.4661935483871,310.320684711962
"660","Desktop",1,NA,2005,3.6,2,115,39.4661935483871,106.181634049767
"","Mobile",1,NA,NA,0.75,256,24.6,22.4466183574879,73.4118182014715
"","Mobile",1,NA,NA,0.65,256,7,22.4466183574879,75.4744690854707
"","Mobile",1,NA,2002,2.2,512,35,22.4466183574879,248.651208730046
"G640T","Desktop",2,NA,2012,2.4,3,35,32,156.350450186339
"","Mobile",1,NA,NA,0.333,256,11.8,22.4466183574879,35.3040259575216
"T4400","Mobile",2,NA,2009,2.2,1,35,22.4466183574879,102.688046308433
"T2370","Mobile",2,NA,2008,1.73,1,35,22.4466183574879,80.2189611502757
"E2220","Desktop",2,NA,2008,2.4,1,65,39.4661935483871,115.572958829754
"725","Mobile",1,NA,2004,1.6,2,7.5,22.4466183574879,60.1379418969666
"","Mobile",1,NA,NA,1.4,1,22,22.4466183574879,38.3412927583961
"","Desktop",1,NA,NA,0.533,256,14,39.4661935483871,62.7021663022262
"","Desktop",1,NA,NA,0.5,512,28,39.4661935483871,62.7812149509551
"","Desktop",1,NA,2004,3,1,89,39.4661935483871,77.4907322246166
"520J","Desktop",1,NA,2004,2.8,1,84,39.4661935483871,72.7704244132118
"515","Desktop",1,NA,2005,2.93,1,84,39.4661935483871,76.2440119760953
"","Desktop",1,NA,NA,2.66,1,89,39.4661935483871,68.4818678038182
"","Desktop",1,NA,NA,1.7,256,64,39.4661935483871,167.135543643893
"","Mobile",1,NA,NA,0.7,256,23,22.4466183574879,69.0304451269864
"","Mobile",1,NA,NA,3.2,512,76,22.4466183574879,328.07128975238
"","Mobile",1,NA,NA,2.3,512,35,22.4466183574879,260.271052231107
"B960","Mobile",2,NA,2011,2.2,2,35,16,112.851967859668
"","Mobile",1,NA,NA,0.3,512,11.1,22.4466183574879,37.6589756828618
"957","Mobile",2,NA,2011,1.2,2,17,8.01,58.1398194132308
"","Desktop",1,NA,NA,0.233,512,17,39.4661935483871,30.7070871757807
"T4500","Mobile",2,NA,2010,2.3,1,35,22.4466183574879,107.486812554645
"T2330","Mobile",2,NA,2007,1.6,1,35,22.4466183574879,74.0319637476848
"","Desktop",1,NA,NA,2.8,1,89,39.4661935483871,72.1877860757999
"","Desktop",1,NA,NA,0.5,256,13.2,39.4661935483871,59.199212727302
"","Desktop",1,NA,NA,1.4,256,31.2,39.4661935483871,151.291248750592
"","Desktop",1,NA,2004,2.8,1,89,39.4661935483871,72.1877860757999
"650","Desktop",1,NA,2005,3.4,2,84,39.4661935483871,104.594931454001
"511","Desktop",1,NA,NA,2.8,1,84,39.4661935483871,72.7704244132118
"","Desktop",1,NA,NA,2.53,512,61.5,39.4661935483871,297.719569301324
"","Desktop",1,NA,NA,1.6,512,38,39.4661935483871,198.798196678658
"","Mobile",1,NA,NA,0.65,256,21.5,22.4466183574879,64.5720120365978
"","Mobile",1,NA,NA,1.26,512,22,22.4466183574879,149.598261607315
"","Mobile",1,NA,NA,3.06,512,70,22.4466183574879,316.93612237777
"552","Mobile",1,NA,NA,3.46,1,88,22.4466183574879,80.1124737716713
"","Mobile",1,NA,NA,2.4,512,35,22.4466183574879,271.904781900183
"B970","Mobile",2,NA,2012,2.3,2,35,16,118.125709387061
"967","Mobile",2,NA,2011,1.3,2,17,16,72.6705648216462
"P6300","Mobile",2,NA,2011,2.27,3,35,8,111.3505635077
"","Mobile",1,NA,NA,0.3,256,11.6,22.4466183574879,31.789874721118
"","Desktop",1,NA,NA,0.2,512,15.7,39.4661935483871,26.5396240062627
"","Desktop",1,NA,NA,0.2,512,37.9,39.4661935483871,23.4791218496359
"","Desktop",1,NA,NA,0.333,512,20.6,39.4661935483871,43.1507175887724
"G6960","Desktop",2,NA,2011,2.93,3,73,16.38,151.197694648594
"E6500K","Desktop",2,NA,2009,2.93,2,65,39.4661935483871,167.036580829686
"E2200","Desktop",2,NA,2007,2.2,1,65,39.4661935483871,105.689041982629
"T2310","Mobile",2,NA,2007,1.46,1,35,22.4466183574879,67.3845138542332
"","Mobile",1,NA,NA,1.5,1,24.5,22.4466183574879,40.5465568903355
"","Desktop",1,NA,NA,0.45,512,25.3,39.4661935483871,57.1397438754947
"","Desktop",1,NA,NA,2.8,1,89,39.4661935483871,72.1877860757999
"","Desktop",1,NA,NA,1.33,256,29.9,39.4661935483871,144.376151292448
"","Desktop",1,NA,NA,2.8,512,69.7,39.4661935483871,324.710825734407
"641","Desktop",1,NA,2006,3.2,2,86,39.4661935483871,97.9575457611385
"511","Desktop",1,NA,2005,2.8,1,84,39.4661935483871,72.7704244132118
"","Desktop",1,NA,NA,1.6,256,61,39.4661935483871,158.09411048216
"","Mobile",1,NA,NA,0.6,512,34.5,22.4466183574879,65.5680874603968
"","Mobile",1,NA,NA,1.2,512,22,22.4466183574879,142.283771842421
"","Mobile",1,NA,NA,2.8,512,68.4,22.4466183574879,290.232140527059
"548","Mobile",1,NA,NA,3.33,1,88,22.4466183574879,77.0214251578645
"","Mobile",1,NA,NA,2.5,512,35,22.4466183574879,283.551834380063
"B980","Mobile",2,NA,2012,2.4,2,35,16,123.405753242098
"977","Mobile",2,NA,2012,1.4,2,17,16.38,78.7956324358723
"P6200","Mobile",2,NA,2010,2.13,3,35,8,104.30063992996
"","Mobile",1,NA,NA,0.8,512,9.8,22.4466183574879,104.967758692971
"","Mobile",1,NA,NA,0.266,512,10.3,22.4466183574879,33.6287623210158
"","Desktop",1,NA,NA,0.166,512,13.1,39.4661935483871,22.474109711908
"","Desktop",1,NA,NA,0.2,256,35,39.4661935483871,20.163644032472
"","Desktop",1,NA,NA,0.45,512,27.1,39.4661935483871,56.5963424012147
"","Desktop",1,NA,NA,0.3,512,21.5,39.4661935483871,38.5334985274516
"G6950","Desktop",2,NA,2010,2.8,3,73,16.38,144.309305409153
"E6500","Desktop",2,NA,2008,2.93,2,65,39.4661935483871,167.036580829686
"T4300","Mobile",2,NA,NA,2.1,1,35,22.4466183574879,97.895268299038
"E2180","Desktop",2,NA,2007,2,1,65,39.4661935483871,95.8298026132472
"520J","Desktop",1,NA,NA,2.8,1,84,39.4661935483871,72.7704244132118
"T2130","Mobile",2,NA,2007,1.86,1,31,22.4466183574879,87.8892655678708
"715","Mobile",1,NA,NA,1.5,2,7.5,22.4466183574879,56.2794885612729
"","Mobile",1,NA,2003,1.6,1,24.5,22.4466183574879,43.3263795519093
"","Desktop",1,NA,NA,1.2,256,29.9,39.4661935483871,129.896776549575
"640","Desktop",1,NA,2005,3.2,2,84,39.4661935483871,98.2785370893426
"506","Desktop",1,NA,2005,2.66,1,84,39.4661935483871,69.0345951247279
"","Desktop",1,NA,2002,2.4,512,59.8,39.4661935483871,283.11413569206
"","Desktop",1,NA,NA,1.5,256,57.8,39.4661935483871,149.063354667248
"","Mobile",1,NA,NA,0.5,256,16.8,22.4466183574879,51.0347887516772
"","Mobile",1,NA,NA,1.13,512,21.8,22.4466183574879,133.932872922832
"","Mobile",1,NA,NA,2.66,512,66.1,22.4466183574879,276.644884978439
"","Mobile",1,NA,NA,2.6,512,35,22.4466183574879,295.211690825068
"538","Mobile",1,NA,NA,3.2,1,88,22.4466183574879,73.9336893542074
"987","Mobile",2,NA,2012,1.5,2,17,16.38,84.5839938510655
"P6100","Mobile",2,NA,2010,2,3,35,8,97.7656560690377
"U5600","Mobile",2,NA,2011,1.33,3,18,8,70.5170606669977
"","Desktop",1,NA,NA,0.2,1,44,39.4661935483871,5.28928411839018
"","Desktop",1,NA,NA,0.18,256,31.7,39.4661935483871,18.3457119152005
"","Desktop",1,NA,NA,0.4,512,24.3,39.4661935483871,50.9115248668082
"","Desktop",1,NA,NA,0.266,512,16.8,39.4661935483871,35.2418437236276
"","Mobile",1,NA,NA,0.266,256,10.3,22.4466183574879,28.5621943094821
"G6951","Desktop",2,NA,2011,2.8,3,73,16.38,144.309305409153
"T3400","Mobile",2,NA,2008,2.16,1,35,22.4466183574879,100.770201553532
"E5300","Desktop",2,NA,2008,2.6,2,65,39.4661935483871,147.738012810706
"T2080","Mobile",2,NA,2007,1.73,1,31,22.4466183574879,81.5839793895824
"E2160","Desktop",2,NA,2006,1.8,1,65,39.4661935483871,85.9976450710079
"","Mobile",1,NA,NA,1.7,1,24.5,22.4466183574879,46.1109804194818
"","Desktop",1,NA,NA,1.13,256,29.1,39.4661935483871,122.579065535646
"","Desktop",1,NA,NA,1.1,256,33,39.4661935483871,117.169777278961
"920","Desktop",2,NA,2006,2.8,4,95,39.4661935483871,178.059943171323
"","Desktop",1,NA,NA,2.6,512,69,39.4661935483871,301.326782302664
"","Desktop",1,NA,2004,3.73,2,115,39.4661935483871,110.123196259728
"","Desktop",1,NA,NA,3.4,2,102.9,39.4661935483871,101.685009352461
"631","Desktop",1,NA,2006,3,2,86,39.4661935483871,91.6725847652003
"520","Desktop",1,NA,2004,2.8,1,84,39.4661935483871,72.7704244132118
"505J","Desktop",1,NA,2005,2.66,1,84,39.4661935483871,69.0345951247279
"","Desktop",1,NA,NA,2.4,1,89,39.4661935483871,61.6138732067403
"","Desktop",1,NA,NA,1.4,256,54.7,39.4661935483871,139.93080673364
"","Mobile",1,NA,NA,0.45,256,15.5,22.4466183574879,46.3143185265959
"","Mobile",1,NA,NA,1.06,512,21,22.4466183574879,126.069325668462
"532","Mobile",1,NA,NA,3.06,1,88,22.4466183574879,70.6122906334203
"997","Mobile",2,NA,2012,1.6,2,17,16,89.9521404586306
"","Mobile",1,NA,NA,1.06,512,21,22.4466183574879,126.069325668462
"","Mobile",1,NA,NA,0.233,512,9,22.4466183574879,29.9055626569964
"","Desktop",1,NA,NA,0.166,512,35,39.4661935483871,19.6039793367522
"","Desktop",1,NA,NA,0.15,256,31.7,39.4661935483871,15.2117413055324
"","Desktop",1,NA,NA,0.35,512,21.5,39.4661935483871,45.1464549082677
"","Desktop",1,NA,NA,0.233,512,34.8,39.4661935483871,27.7959586306486
"U5400","Mobile",2,NA,2010,1.2,3,18,8,63.4449581208147
"P6000","Mobile",2,NA,2010,1.86,3,35,8,90.7410456141532
"T4200","Mobile",2,NA,2009,2,1,35,22.4466183574879,93.1087558736168
"T3200","Mobile",2,NA,NA,2,1,35,22.4466183574879,93.1087558736168
"","Desktop",1,NA,NA,3,512,81.9,39.4661935483871,340.834450950562
"E2140","Desktop",2,NA,2007,1.6,1,65,39.4661935483871,76.1955028444536
"T2060","Mobile",2,NA,2007,1.6,1,31,22.4466183574879,75.2917030831016
"840","Desktop",2,NA,2005,3.2,2,130,39.4661935483871,166.070510019134
"705","Mobile",1,NA,NA,1.5,1,24.5,22.4466183574879,40.5465568903355
"","Desktop",1,NA,2000,1,256,29,39.4661935483871,108.165342383389
"","Desktop",1,NA,2000,1,256,29,39.4661935483871,108.165342383389
"","Desktop",1,NA,NA,3.06,512,81.8,39.4661935483871,347.899333417218
"","Desktop",1,NA,NA,2.4,512,66.2,39.4661935483871,279.140183692552
"","Desktop",1,NA,2004,3.46,2,110.7,39.4661935483871,102.482793178203
"","Desktop",1,NA,NA,3.2,2,92.1,39.4661935483871,97.0286859043002
"630","Desktop",1,NA,2005,3,2,84,39.4661935483871,91.9729812738617
"620","Desktop",1,NA,NA,2.8,2,84,39.4661935483871,85.6789671015904
"517","Desktop",1,NA,2005,2.93,1,84,39.4661935483871,76.2440119760953
"505","Desktop",1,NA,NA,2.66,1,84,39.4661935483871,69.0345951247279
"","Desktop",1,NA,NA,2.26,512,58,39.4661935483871,267.292847300408
"","Desktop",1,NA,NA,1.3,256,51.6,39.4661935483871,130.727683217903
"","Mobile",1,NA,NA,1,256,34,22.4466183574879,94.3182239744767
"","Mobile",1,NA,NA,1,512,20.5,22.4466183574879,119.14166582875
"","Mobile",1,NA,NA,2.4,512,59.8,22.4466183574879,252.390773038537
"G1620","Desktop",2,NA,2013,2.7,2,55,32,150.619099059854
"G3900T","Desktop",2,NA,2015,2.6,2,35,64,177.668032366152
"J1850","Desktop",4,NA,2013,2,2,10,8,189.909639425236
"J3160","Desktop",4,NA,2016,1.6,2,6,8,162.11371382613
"N2810","Mobile",2,NA,2013,2,1,7.5,8,93.4964214202398
"N2815","Mobile",2,NA,2013,1.86,1,7.5,8,86.7785619406377
"N2820","Mobile",2,NA,2013,2.13,1,7.5,8,99.7460353399153
"N2910","Mobile",4,NA,2013,1.6,2,7.5,8.79,160.203388669091
"N2920","Mobile",4,NA,2013,1.86,2,7.5,8,183.45726280821
"3965Y","Mobile",2,NA,2017,1.5,2,6,16,97.2964017158488
"i5-7267U","Mobile",2,NA,2017,3.5,4,28,32,254.309941062001
"i5-7287U","Mobile",2,NA,2017,3.7,4,28,32,269.252503930893
"i5-7400T","Desktop",4,NA,2017,3,6,35,64,478.708832030846
"i5-7440HQ","Mobile",4,NA,2017,3.8,6,45,64,589.357006288141
"i5-7500T","Desktop",4,NA,2017,3.3,6,35,64,527.959741815952
"i5-7500","Desktop",4,NA,2017,3.8,6,65,64,559.983173567689
"i5-7600","Desktop",4,NA,2017,4.1,6,65,64,605.454422900709
"i5-7600T","Desktop",4,NA,2017,3.7,6,35,64,593.817600569424
"i5-7600K","Desktop",4,NA,2017,4.2,6,91,64,592.267438978103
"i7-4930MX","Mobile",4,NA,2013,3.9,8,57,32,544.316523577173
"i7-4940MX","Mobile",4,NA,2014,4,8,57,32,558.661632630348
"i7-5820K","Desktop",6,NA,2014,3.6,15,140,64,832.091758731498
"i7-5930K","Desktop",6,NA,2014,3.7,15,140,64,855.8491189968
"i7-5960X","Desktop",8,NA,2014,3.5,20,140,64,1102.90678239082
"i7-6800K","Desktop",6,NA,2016,3.6,15,140,128,958.185975481581
"i7-6850K","Desktop",6,NA,2016,3.8,15,140,128,1012.92133586368
"i7-6900K","Desktop",8,NA,2016,3.7,20,140,128,1344.66410037921
"i7-6950X","Desktop",10,NA,2016,3.5,25,140,128,1616.15664106673
"i5-7640X","Desktop",4,NA,2017,4.2,6,112,64,575.414034852393
"i7-7740X","Desktop",4,NA,2017,4.5,8,112,64,660.998794431786
"i7-7800X","Desktop",6,NA,2017,4,8.25,140,128,927.462130838497
"i9-7900X","Desktop",10,NA,2017,4.3,13.75,140,128,1734.48769796775
"i7-7820X","Desktop",8,NA,2017,4.3,11,140,128,1363.02923071796
"i9-7920X","Desktop",12,NA,2017,4.3,16.5,140,128,2111.97910500686
"i9-7940X","Desktop",14,NA,2017,4.3,19.25,165,128,2438.22431534639
"i9-7960X","Desktop",16,NA,2017,4.2,22,165,128,2749.20488278027
"i9-7980XE","Desktop",18,NA,2017,4.2,24.75,165,128,3122.14839522374
"i7-7567U","Mobile",2,NA,2017,4,4,28,32,291.707636311905
"i7-7700T","Desktop",4,NA,2017,3.8,8,35,64,653.111246749431
"i7-7700K","Desktop",4,NA,2017,4.5,8,91,64,680.358905820143
"i7-7700","Desktop",4,NA,2017,4.2,8,65,64,664.15348437871
"","Server",1,NA,NA,1.66,6,122,699.137906976744,110.554094358708
"","Server",1,NA,NA,1.6,6,122,699.137906976744,106.450493046309
"","Server",1,NA,NA,0.9,1.5,90,699.137906976744,44.3545515606543
"9010","Server",2,NA,NA,1.6,6,104,699.137906976744,195.429175918867
"9152M","Server",2,NA,2007,1.66,24,104,699.137906976744,281.355353736395
"9015","Server",2,NA,2007,1.4,12,104,699.137906976744,200.596917055372
"9020","Server",2,NA,NA,1.42,12,104,699.137906976744,203.541856209084
"9030","Server",2,NA,NA,1.6,8,104,699.137906976744,209.133485486889
"9040","Server",2,NA,NA,1.6,18,104,699.137906976744,253.159281619647
"9050","Server",2,NA,NA,1.6,24,104,699.137906976744,270.911867174089
"","Server",1,NA,NA,1,3,100,699.137906976744,57.3468809603588
"","Server",1,NA,NA,1.3,3,97,699.137906976744,75.408672395198
"","Server",1,NA,NA,1.4,4,91,699.137906976744,87.8576071139523
"","Server",1,NA,NA,1.5,4,107,699.137906976744,92.2116077126447
"","Server",1,NA,NA,1.5,6,107,699.137906976744,101.454364196484
"","Server",1,NA,NA,1.6,9,122,699.137906976744,117.120472772481
"","Server",1,NA,NA,1.66,9,122,699.137906976744,121.635395268602
"D2700","Desktop",2,NA,2011,2.13,1,10,4,83.2236220596554
"S1260","Server",2,NA,2012,2,1,8.5,8,91.883504792432
"E3930","Embedded",2,NA,2016,1.3,2,6.5,8,72.132437665916
"E3940","Embedded",4,NA,2016,1.6,2,9.5,8,152.080271512861
"E3950","Embedded",4,NA,2016,1.6,2,12,8,147.220081893261
"Z500","Mobile",1,NA,2008,0.8,512,0.65,22.4466183574879,153.065987506613
"Z600","Mobile",1,NA,2010,1.2,512,1.3,1,111.920196387035
"E645C","Embedded",1,NA,2010,1,512,7,2.93,91.3978921533695
"Z515","Mobile",1,NA,2009,1.2,512,1.4,22.4466183574879,208.678737283153
"E645CT","Embedded",1,NA,2010,1,512,7,2.93,91.3978921533695
"Z520","Mobile",1,NA,2008,1.33,512,2,22.4466183574879,220.718639198078
